manufacturer,model name,category,screen size,cpu,ram(GB),gpu,operating system,operating system version,weight(kg),price,resolution,screen_type,touchscreen,cpu_freq(GHz),storage_1_gb,storage_1_type,storage_2_gb,storage_2_type,cpu_brand,gpu_brand
HP,ProBook 640,Notebook,"14.0""",Intel Core i5 7200U ,4.0,Intel HD Graphics 620,Windows,10,1.95,9425520.0,1366x768,,0.0,2.5,500.0,HDD,0.0,NaN,Intel,Intel
Lenovo,IdeaPad Y700-15ISK,Notebook,"15.6""",Intel Core i7 6700HQ ,8.0,Nvidia GeForce GTX 960M,Windows,10,2.6,7993908.0,1920x1080,IPSPanel,0.0,2.6,1000.0,HDD,0.0,NaN,Intel,Nvidia
Dell,Inspiron 5577,Gaming,"15.6""",Intel Core i7 7700HQ ,8.0,Nvidia GeForce GTX 1050,Windows,10,2.56,9429877.08,1920x1080,,0.0,2.8,128.0,SSD,1000.0,HDD,Intel,Nvidia
Acer,Aspire A517-51G,Notebook,"17.3""",Intel Core i5 8250U ,4.0,Nvidia GeForce MX150,Windows,10,3.0,7158060.0,1920x1080,IPSPanel,0.0,1.6,256.0,SSD,0.0,NaN,Intel,Nvidia
Lenovo,Thinkpad T470p,Notebook,"14.0""",Intel Core i5 7300HQ ,8.0,Intel HD Graphics 630,Windows,10,1.7,13106808.0,1920x1080,IPSPanel,0.0,2.5,256.0,SSD,0.0,NaN,Intel,Intel
Asus,VivoBook Flip,2 in 1 Convertible,"11.6""",Intel Celeron Dual Core N3350 ,4.0,Intel HD Graphics 500,Windows,10,1.5,3334500.0,1366x768,,1.0,1.1,32.0,FlashStorage,0.0,NaN,Intel,Intel
Acer,Predator G9-793,Gaming,"17.3""",Intel Core i7 7700HQ ,16.0,Nvidia GeForce GTX 1060,Windows,10,4.2,20442708.0,1920x1080,IPSPanel,0.0,2.8,256.0,SSD,1000.0,HDD,Intel,Nvidia
HP,ProBook 470,Notebook,"17.3""",Intel Core i5 7200U ,8.0,Nvidia GeForce 930MX,Windows,10,2.63,8091720.0,1600x900,,0.0,2.5,1000.0,HDD,0.0,NaN,Intel,Nvidia
Apple,Macbook Air,Ultrabook,"13.3""",Intel Core i5 ,8.0,Intel HD Graphics 6000,macOS,,1.34,7993374.48,1440x900,,0.0,1.8,128.0,FlashStorage,0.0,NaN,Intel,Intel
MSI,GP72VR Leopard,Gaming,"17.3""",Intel Core i7 7700HQ ,8.0,Nvidia GeForce GTX 1060,Windows,10,2.7,13220358.84,1920x1080,,0.0,2.8,128.0,SSD,1000.0,HDD,Intel,Nvidia
MSI,GV62 7RD-1686NL,Gaming,"15.6""",Intel Core i5 7300HQ ,8.0,Nvidia GeForce GTX 1050,Windows,10,2.2,9138664.08,1920x1080,,0.0,2.5,256.0,SSD,0.0,NaN,Intel,Nvidia
Asus,ZenBook UX510UX-CN211T,Notebook,"15.6""",Intel Core i7 7500U ,8.0,Intel HD Graphics 620,Windows,10,2.0,10883808.0,1920x1080,,0.0,2.7,256.0,SSD,1000.0,HDD,Intel,Intel
Dell,Inspiron 5579,2 in 1 Convertible,"15.6""",Intel Core i7 8550U ,16.0,Intel UHD Graphics 620,Windows,10,2.0,11426220.0,1920x1080,,1.0,1.8,512.0,SSD,0.0,NaN,Intel,Intel
HP,Spectre x360,2 in 1 Convertible,"13.3""",Intel Core i7 8550U ,16.0,Intel UHD Graphics 620,Windows,10,1.29,21776508.0,3840x2160,IPSPanel,1.0,1.8,1000.0,SSD,0.0,NaN,Intel,Intel
